昆仑万维,润泽科技,阳光电源,通威股份,晶盛机电,天赐材料,藏格矿业,康龙化成,泰格医药,卓胜微,圣邦股份,北方华创,四川路桥,云铝股份,赛力斯,长安汽车,拓普集团,德赛西威,三七互娱,兖矿能源,潞安环能,山西焦煤,智飞生物,沪电股份,亿纬锂能,国轩高科,天齐锂业,赣锋锂业,华友钴业,中远海控,中远海能,同花顺,天孚通信,新易盛,中际旭创,合盛硅业,index,date
互联网服务,互联网服务,光伏设备,光伏设备,光伏设备,化学制品,化肥行业,医疗服务,医疗服务,半导体,半导体,半导体,工程建设,有色金属,汽车整车,汽车整车,汽车零部件,汽车零部件,游戏,煤炭行业,煤炭行业,煤炭行业,生物制品,电子元件,电池,电池,能源金属,能源金属,能源金属,航运港口,航运港口,软件开发,通信设备,通信设备,通信设备,非金属材料,,
0.0055710306406686,0.0284018651971174,-0.0133219470538,-0.0126970227670752,0.0007550969041028,-0.0049019607843138,-0.0108968985750208,0.0,-0.0079257684129131,0.0074187213615535,0.0070878650861541,0.058341862845445,0.013157894736842,0.0148148148148148,-0.055185767880915,-0.0065398335315101,-0.0122293504410585,0.0045732952225399,-0.0527192008879022,0.0,0.0259042033235581,0.0032715376226826,0.0253789213958406,-0.0237659963436928,-0.0190936863543788,-0.009396636993076,-0.0184453227931489,-0.0184143222506393,-0.0099900099900099,-0.0033333333333332,0.0178117048346055,-0.0097493036211699,-0.0086832964951057,-0.0072018640118619,0.001577287066246,-0.0040008422825859,0.0,967.0
0.0130193905817175,0.0028854080791425,0.0934741215163579,0.0904656319290464,0.1053822937625756,0.1012091356918944,0.0266949152542372,0.0525931336742147,0.0722915042868277,0.0041152263374486,0.0542409901710956,0.0294340257337482,0.0057720057720058,0.0593065693430656,-0.0822338926604328,-0.0095751047277079,0.0028414856910898,0.0265019104137873,0.0052724077328647,-0.0264072272411397,-0.042877560743211,-0.0293478260869565,0.0094534204193881,0.0168539325842695,0.0814949390085648,0.0624063904143783,0.0607861936720997,0.0831162063574777,0.0679448368651194,-0.0111482720178374,-0.0316666666666667,0.0870604781997188,0.0218187609491957,0.0273095796885001,0.0175853018372704,0.0754756871035939,1.0,968.0
0.0213289581624283,0.0209617755856967,-0.0204210859585246,-0.0187067913786092,-0.0127417519908987,0.0077267181781213,0.0020635575732563,-0.0013879250520472,-0.0114483009267672,0.0122231809030772,0.0233655616942909,0.0004493096969202,-0.0043041606886655,0.0129198966408268,0.058897418004187,-0.0036253776435046,0.0182149362477233,0.0190068899976241,0.0378787878787878,-0.0107066381156317,0.011448481831757,0.0167973124300111,0.0234973608036779,-0.0046040515653774,0.0007199424046075,0.0056390977443607,-0.0159074475777296,0.0103439980755353,0.0056692913385827,-0.004509582863585,0.0043029259896729,0.0005822227972569,0.0,0.0211838006230529,0.0359814289399018,-0.0108118734027913,2.0,969.0
-0.0222222222222221,-0.0334138486312398,-0.025371687136393,-0.0157480314960629,-0.0318045632634248,-0.0347054075867635,0.0251235584843492,-0.0246699096594857,-0.035845588235294,-0.0568262537292229,-0.0313800472387807,-0.0220879434940595,0.0043227665706051,0.0102040816326531,-0.0375642546461052,-0.0357792601576711,-0.0512820512820514,-0.0490401803062096,0.0174059517125211,0.0404040404040404,0.0403543307086613,0.0506607929515416,-0.022625187156879,-0.0046253469010176,-0.0323741007194244,-0.0233644859813083,-0.0067964731814841,-0.0269047619047619,-0.0266207328531162,0.0305775764439411,0.0471293916023993,-0.014029870045904,-0.0169887780548627,-0.0274557657107993,-0.0204157848873397,0.0117249602543718,3.0,970.0
-0.0342278203723986,-0.0029154518950437,-0.0026529597081744,0.0088421052631579,-0.0009521542489883,0.0054347826086955,0.008838891120932,-0.010331314570716,-0.0196377502383222,-0.0301250188281367,-0.0490013934045517,0.0007515030060118,0.0100430416068866,-0.0303030303030303,-0.0062996439331689,-0.0283018867924529,-0.0125707102451286,-0.0405361229159855,0.020419426048565,0.0325936199722607,0.0085146641438031,0.0440251572327046,-0.0144680851063829,-0.0195167286245352,0.0017348203221809,0.0,-0.0018494544109487,0.0022021042329338,0.0038610038610038,0.0065934065934065,0.0212765957446807,-0.0019672131147541,-0.0207705723798954,-0.0303220409870347,-0.0510865421273351,0.0003928501276764,4.0,971.0
-0.026084491068897,-0.0121136173767754,-0.0299251870324188,-0.0233722871452422,-0.0383607338575172,-0.0286902286902287,0.0310633213859021,-0.0147588192944564,-0.0305328665888758,-0.0132784593881037,-0.047985347985348,-0.0176470588235293,-0.0014204545454544,-0.0164930555555554,-0.0464443219404631,-0.0323624595469255,-0.0116698493528538,-0.0267461669505962,-0.0156841535965386,0.0315648085963733,0.0070356472795496,0.001004016064257,-0.0162348877374783,-0.0061611374407584,-0.0326571004453241,-0.0172248803827751,-0.0307578284231979,-0.025390625,-0.030128205128205,0.0174672489082969,-0.001602564102564,-0.0105124835742443,-0.0100388601036268,0.0228596075048523,-0.0095085040846392,-0.022187315923817,5.0,972.0
-0.0355167394468703,-0.0202959830866806,-0.0306769494430162,-0.0128205128205126,-0.0359266600594648,-0.030821917808219,-0.0100424874468907,-0.0080379978078188,-0.0118355065195587,-0.0062170457228298,0.0037193792484289,-0.0090032700556333,0.0014224751066855,0.0035304501323918,0.0089608324902443,-0.0267558528428092,-0.0210390725633318,-0.0079642919656923,-0.0236263736263736,0.0071614583333334,0.0060549604098742,-0.0030090270812438,-0.0263342696629212,-0.043872198378636,-0.0028132992327365,-0.0043816942551119,0.0064997132479449,0.0315631262525049,-0.0175148711169861,-0.0064377682403433,-0.0200642054574639,-0.0258964143426295,-0.0356558717697088,-0.0602993885726333,-0.0382639264467279,-0.0267068273092369,6.0,973.0
0.0283730757621489,-0.0267587397496763,0.0024752475247524,-0.0017316017316018,-0.0246723207401694,-0.0273851590106007,0.0031213421771363,-0.0283609576427256,-0.0229395046691026,-0.0400696864111498,-0.0440838231535906,-0.0340689950717805,-0.0042613636363636,-0.011433597185576,-0.0393926371580002,-0.006872852233677,-0.0399122807017543,-0.0205558006175562,-0.0157568936409679,-0.0213316095669037,-0.0046296296296296,-0.0110663983903419,-0.0108186080057699,-0.0294264339152119,-0.0087201846627341,-0.0180929095354523,-0.00664767331434,0.0167557066537153,-0.0285906491759165,-0.0053995680345571,0.0180180180180178,0.0368098159509202,-0.0057666214382633,-0.0170518285842494,-0.0123717137635315,0.0074272746028472,7.0,974.0
0.0117405341943057,-0.0079822616407981,0.0209876543209877,0.02601908065915,0.0105401844532277,0.0099909173478656,0.0050563982886036,-0.0034116755117513,0.0151672553500934,0.0013199142055766,-0.0068172704183933,0.0084294587400177,-0.0042796005706132,0.0044483985765124,-0.0198329853862212,0.0013840830449827,-0.0198720877112837,0.0169338857863448,-0.0114351057747283,0.0323645970937913,0.0083720930232558,0.0101729399796541,-0.0078381334305505,0.0513874614594038,0.0,0.0034860557768925,0.029827915869981,0.0145689037497014,0.0072714681440444,-0.0271444082519001,-0.0394207562349155,-0.0585798816568047,0.0209825997952917,0.0312713992239215,0.0256227758007117,0.0030718820397297,8.0,975.0
